origin,destination
LHR,AMS
LHR,BCN
LHR,CDG
LHR,FCO
LHR,DUB
LHR,PRG
LHR,ATH
LHR,LIS
LHR,BUD
LHR,CPH
LHR,IST
LHR,BKK
LHR,DPS
LHR,HAN
LHR,SGN
LHR,KUL
LHR,MNL
LHR,SIN
LHR,SYD
LHR,MEL
LHR,BNE
LHR,JFK
LHR,LAX
LHR,DXB
LHR,DEL
LHR,CPT
LHR,TYO
LHR,PER
LGW,AMS
LGW,BCN
LGW,CDG
LGW,FCO
LGW,DUB
LGW,PRG
LGW,ATH
LGW,LIS
LGW,BUD
LGW,CPH
LGW,IST
LGW,BKK
LGW,DPS
LGW,HAN
LGW,SGN
LGW,KUL
LGW,MNL
LGW,SIN
LGW,SYD
LGW,MEL
LGW,BNE
LGW,JFK
LGW,LAX
LGW,DXB
LGW,DEL
LGW,CPT
LGW,TYO
LGW,PER
MAN,AMS
MAN,BCN
MAN,CDG
MAN,FCO
MAN,DUB
MAN,PRG
MAN,ATH
MAN,LIS
MAN,BUD
MAN,CPH
MAN,IST
MAN,BKK
MAN,DPS
MAN,HAN
MAN,SGN
MAN,KUL
MAN,MNL
MAN,SIN
MAN,SYD
MAN,MEL
MAN,BNE
MAN,JFK
MAN,LAX
MAN,DXB
MAN,DEL
MAN,CPT
MAN,TYO
MAN,PER
STN,AMS
STN,BCN
STN,CDG
STN,FCO
STN,DUB
STN,PRG
STN,ATH
STN,LIS
STN,BUD
STN,CPH
STN,IST
STN,BKK
STN,DPS
STN,HAN
STN,SGN
STN,KUL
STN,MNL
STN,SIN
STN,SYD
STN,MEL
STN,BNE
STN,JFK
STN,LAX
STN,DXB
STN,DEL
STN,CPT
STN,TYO
STN,PER
EDI,AMS
EDI,BCN
EDI,CDG
EDI,FCO
EDI,DUB
EDI,PRG
EDI,ATH
EDI,LIS
EDI,BUD
EDI,CPH
EDI,IST
EDI,BKK
EDI,DPS
EDI,HAN
EDI,SGN
EDI,KUL
EDI,MNL
EDI,SIN
EDI,SYD
EDI,MEL
EDI,BNE
EDI,JFK
EDI,LAX
EDI,DXB
EDI,DEL
EDI,CPT
EDI,TYO
EDI,PER
BRS,AMS
BRS,BCN
BRS,CDG
BRS,FCO
BRS,DUB
BRS,PRG
BRS,ATH
BRS,LIS
BRS,BUD
BRS,CPH
BRS,IST
BRS,BKK
BRS,DPS
BRS,HAN
BRS,SGN
BRS,KUL
BRS,MNL
BRS,SIN
BRS,SYD
BRS,MEL
BRS,BNE
BRS,JFK
BRS,LAX
BRS,DXB
BRS,DEL
BRS,CPT
BRS,TYO
BRS,PER
BHX,AMS
BHX,BCN
BHX,CDG
BHX,FCO
BHX,DUB
BHX,PRG
BHX,ATH
BHX,LIS
BHX,BUD
BHX,CPH
BHX,IST
BHX,BKK
BHX,DPS
BHX,HAN
BHX,SGN
BHX,KUL
BHX,MNL
BHX,SIN
BHX,SYD
BHX,MEL
BHX,BNE
BHX,JFK
BHX,LAX
BHX,DXB
BHX,DEL
BHX,CPT
BHX,TYO
BHX,PER
GLA,AMS
GLA,BCN
GLA,CDG
GLA,FCO
GLA,DUB
GLA,PRG
GLA,ATH
GLA,LIS
GLA,BUD
GLA,CPH
GLA,IST
GLA,BKK
GLA,DPS
GLA,HAN
GLA,SGN
GLA,KUL
GLA,MNL
GLA,SIN
GLA,SYD
GLA,MEL
GLA,BNE
GLA,JFK
GLA,LAX
GLA,DXB
GLA,DEL
GLA,CPT
GLA,TYO
GLA,PER
NCL,AMS
NCL,BCN
NCL,CDG
NCL,FCO
NCL,DUB
NCL,PRG
NCL,ATH
NCL,LIS
NCL,BUD
NCL,CPH
NCL,IST
NCL,BKK
NCL,DPS
NCL,HAN
NCL,SGN
NCL,KUL
NCL,MNL
NCL,SIN
NCL,SYD
NCL,MEL
NCL,BNE
NCL,JFK
NCL,LAX
NCL,DXB
NCL,DEL
NCL,CPT
NCL,TYO
NCL,PER
EMA,AMS
EMA,BCN
EMA,CDG
EMA,FCO
EMA,DUB
EMA,PRG
EMA,ATH
EMA,LIS
EMA,BUD
EMA,CPH
EMA,IST
EMA,BKK
EMA,DPS
EMA,HAN
EMA,SGN
EMA,KUL
EMA,MNL
EMA,SIN
EMA,SYD
EMA,MEL
EMA,BNE
EMA,JFK
EMA,LAX
EMA,DXB
EMA,DEL
EMA,CPT
EMA,TYO
EMA,PER
LPL,AMS
LPL,BCN
LPL,CDG
LPL,FCO
LPL,DUB
LPL,PRG
LPL,ATH
LPL,LIS
LPL,BUD
LPL,CPH
LPL,IST
LPL,BKK
LPL,DPS
LPL,HAN
LPL,SGN
LPL,KUL
LPL,MNL
LPL,SIN
LPL,SYD
LPL,MEL
LPL,BNE
LPL,JFK
LPL,LAX
LPL,DXB
LPL,DEL
LPL,CPT
LPL,TYO
LPL,PER
